Cluster_group,API_best1,API_best1_occurence,API_best2,API_best2_occurence,API_best3,API_best3_occurence,API_best4,API_best4_occurence,API_best5,API_best5_occurence,Nos_Unique_API,Cluster_size,Average_Sequence_No
Cluster_0,240,130,274,28,215,27,35,20,141,18,44,364,8.0
Cluster_1,35,1249,208,94,243,65,159,22,172,22,14,1488,106.0
Cluster_2,240,2179,141,142,65,112,260,106,82,53,8,2666,333.0
Cluster_3,81,372,-1,-1,-1,-1,-1,-1,-1,-1,1,372,372.0
Cluster_4,172,841,81,282,-1,-1,-1,-1,-1,-1,2,1123,562.0
Cluster_5,141,700,117,155,274,5,-1,-1,-1,-1,3,860,287.0
Cluster_6,240,695,-1,-1,-1,-1,-1,-1,-1,-1,1,695,695.0
Cluster_7,158,574,172,247,25,95,35,53,215,28,42,1165,28.0
Cluster_8,172,287,117,219,141,141,240,124,158,124,61,1622,27.0
Cluster_9,198,125,225,82,172,62,82,42,65,29,9,385,43.0
Cluster_10,65,641,215,584,240,567,172,383,35,253,80,4260,53.0
